activities,Activities
aunt_5,She is my aunt.
aunt_8,Can you help me find my aunt?
teacher,Teacher
teacher_2,I love my teacher.
teacher_3,I love you teacher.
teacher_4,I don't like my teacher.
teacher_5,I miss my teacher.
teacher_6,Thank you for the lesson.
therapist,Therapist
therapist_2,I love my therapist.
therapist_3,I love you therapist.
therapist_4,I don't like my therapist.
therapist_5,I miss my therapist.
therapist_6,Thank you for the session.
doctor,Doctor
doctor_2,I love my doctor.
doctor_3,I love you doctor.
doctor_4,I don't like my doctor.
doctor_5,I miss my doctor.
doctor_6,Thank you for healing me.
friends,Friends
friends_2,I love my friends.
friends_3,Do you want to be my friend?
friends_4,I don't like my friends.
friends_5,I miss my friends.
friends_6,They are my friends.
friends_7,Thank you for playing with me.
cousins,Cousins
cousins_2,I love my cousins.
cousins_3,I don't have cousins.
cousins_4,I miss my cousins.
cousins_5,They are my cousins.
grandmother,Grandmother
grandmother_2,I love my grandmother.
grandmother_3,I love you grandma.
grandmother_4,I miss my grandma.
grandmother_5,She is my grandma.
grandfather,Grandfather
grandfather_2,I love my grandfather.
grandfather_3,I love you grandpa.
grandfather_4,I miss my grandpa.
grandfather_5,He is my grandpa.
stepfather,Stepfather
stepfather_2,I love my stepfather.
stepfather_3,He is my stepfather.
stepfather_4,I miss my stepfather.
stepfather_5,He is my stepfather.
stepmother,Stepmother
stepmother_2,I love my stepmother.
stepmother_3,She is my stepmother.
stepmother_4,I miss my stepmother.
stepmother_5,She is my stepmother.
stepsister,Stepsister
stepsister_2,I love my stepsister.
stepsister_3,She is my stepsister.
stepsister_4,I miss my stepsister.
stepsister_5,She is my stepsister.
stepbrother,Stepbrother
stepbrother_2,I love my stepbrother.
stepbrother_3,He is my stepbrother.
stepbrother_4,I miss my stepbrother.
stepbrother_5,He is my stepbrother.
half-brother,Half brother
half-brother_2,I love my half brother.
half-brother_3,He is my half brother.
half-brother_4,I miss my half brother.
half-brother_5,He is my half brother.
half-sister,Half sister
half-sister_2,I love my half sister.
half-sister_3,She is my half sister.
half-sister_4,I miss my half sister.
half-sister_5,She is my half sister.
quarantine,Quarantine
protective-mask,Protective mask
stay-home,Stay home
toilet-paper,Toilet paper
sprayer,Sprayer
disinfectant,Disinfectant
thermometer,Thermometer
coughing,Coughing
medical-assistance,Medical assistance
hand-sanitizer,Hand sanitizer
gloves,Gloves
social-distancing,Social distancing
mouth-mask,Mouth mask
pandemic,Pandemic
working-at-home,Working at home
wet-wipes,Wet wipes
first-aid-kit,First aid kit
fitness,Fitness
e-learning,E-learning
virus,Virus
cleaning,Cleaning
school,School
desk,Desk
desk_2,Can I use this desk?
desk_3,Which desk is mine?
desk_4,I spilled on my desk.
desk_5,Don't scratch your desk.
chair,Chair
chair_2,Can I sit with you?
chair_3,Which chair is mine?
chair_4,Is this chair taken?
chair_5,I spilled on my chair.
book,Book
book_2,Textbook
book_3,Workbook
book_4,Reading a book.
book_5,Can I borrow your book?
book_6,Which page are we at?
book_7,Flip the page.
book_8,I lost my book.
notebook,Notebook
notebook_2,Taking notes.
notebook_3,I'm taking notes.
notebook_4,I lost my notebook.
backpack,Backpack
backpack_2,Carrying my backpack.
backpack_3,Putting my books in my backpack.
backpack_4,I need a new backpack.
backpack_5,Thank you for carrying my backpack.
backpack_6,I lost my backpack.
backpack_7,My backpack is heavy.
blackboard,Blackboard
blackboard_2,Look at the blackboard.
blackboard_3,Cleaning the blackboard.
blackboard_4,Solving the problem on the blackboard.
blackboard_5,Taking note on the blackboard.
blackboard_6,Give me a chalk.
teacher_7,I don't like this topic.
teacher_8,Thank you for the lesson.
school-bus,School bus
school-bus_2,School bus is coming.
school-bus_3,Can I sit next to you?
school-bus_4,Thank you bus driver!
school-bus_5,School bus was late.
pencil,Pencil
pencil_2,I'm writing.
pencil_3,I'm learning to write.
pencil_4,I need a new pencil.
pencil_5,Can I borrow your pencil?
pencil_6,I lost my pencil.
eraser,Eraser
eraser_2,I'm erasing.
eraser_3,I need a new eraser.
eraser_4,Can I borrow your eraser?
eraser_5,I lost my eraser.
ruler,Ruler
ruler_2,I'm measuring.
ruler_3,I need a new ruler.
ruler_4,Can I borrow your ruler?
ruler_5,I lost my ruler.
sharpener,Sharpener
sharpener_2,I'm sharpening my pencil.
sharpener_3,I need a new sharpener.
sharpener_4,Can I borrow your sharpener?
sharpener_5,I lost my sharpener.
mathematics,Mathematics
mathematics_2,I like mathematics.
mathematics_3,I want to study mathematics.
mathematics_4,I don't like mathematics.
mathematics_5,When is mathematics class?
mathematics_6,Can you help me with my mathematics homework?
literature,Literature
literature_2,I like literature.
literature_3,I want to study literature.
literature_4,I don't like literature.
literature_5,When is literature class?
literature_6,Can you help me with my literature homework?
science,Science
science_2,I like science.
science_3,I want to study science.
science_4,I don't like science.
science_5,When is science class?
science_6,Can you help me with my science homework?
art-class,Art class
art-class_2,I like art class.
art-class_3,I want to practice art skills.
art-class_4,I don't like art class.
art-class_5,When is art class?
art-class_6,Can you help me with my art class homework?
music-class,Music class
music-class_2,I like music class.
music-class_3,I want to practice music skills.
music-class_4,I don't like music class.
music-class_5,When is music class?
music-class_6,Can you help me with my music class homework?
geography,Geography
geography_2,I like geography.
geography_3,I want to study geography.
geography_4,I don't like geography.
geography_5,When is geography?
geography_6,Can you help me with my geography homework?
telescope,Telescope
telescope_2,I'm using the telescope.
telescope_3,I want to use the telescope.
telescope_4,I want to look at the stars.
glue,Glue
glue_2,I'm using glue.
glue_3,I need a new glue.
glue_4,Can I borrow your glue?
glue_5,I lost my glue.
shapes,Shapes
circle,Circle
circle_2,This is circle shaped.
circle_3,Can you teach me how to draw a circle?
triangle,Triangle
triangle_2,This is triangle shaped.
triangle_3,Can you teach me how to draw a triangle?
square,Square
square_2,This is square shaped.
square_3,Can you teach me how to draw a square?
rectangle,Rectangle
rectangle_2,This is rectangle shaped.
rectangle_3,Can you teach me how to draw a rectangle?
star,Star
star_2,This is star shaped.
star_3,Can you teach me how to draw a star?
pentagon,Pentagon
pentagon_2,This is pentagon shaped.
pentagon_3,Can you teach me how to draw a pentagon?
hexagon,Hexagon
hexagon_2,This is hexagon shaped.
hexagon_3,Can you teach me how to draw a hexagon?
cross,Cross
cross_2,This is cross shaped.
cross_3,Can you teach me how to draw a cross?
ellipse,Ellipse
ellipse_2,This is ellipse shaped.
ellipse_3,Can you teach me how to draw a ellipse?
arrow,Arrow
arrow_2,This is arrow shaped.
arrow_3,Can you teach me how to draw a arrow?
crescent,Crescent
crescent_2,This is crescent shaped.
crescent_3,Can you teach me how to draw a crescent?
heart,Heart
heart_2,This is heart shaped.
heart_3,Can you teach me how to draw a heart?
rhombus,Rhombus
rhombus_2,This is rhombus shaped.
rhombus_3,Can you teach me how to draw a rhombus?
ring,Ring
ring_2,This is ring shaped.
ring_3,Can you teach me how to draw a ring?
semicircle,Semicircle
semicircle_2,This is semicircle shaped.
semicircle_3,Can you teach me how to draw a semicircle?
trapezoid,Trapezoid
trapezoid_2,This is trapezoid shaped.
trapezoid_3,Can you teach me how to draw a trapezoid?
cube,Cube
cube_2,This is cube shaped.
cube_3,Can you teach me how to draw a cube?
cylinder,Cylinder
cylinder_2,This is cylinder shaped.
cylinder_3,Can you teach me how to draw a cylinder?
