"activities","Activities","活動内容"
"avocado_2","It is avocado color.","アボカドカラーです。"
"avocado_3","My favorite color is avocado color.","私の好きな色はアボカド色です。"
"avocado_4","Can you give me avocado color paint?","アボカドカラーペイントを頂けますか？"
"barbie-pink","Barbie pink","バービーピンク"
"barbie-pink_2","It is barbie pink color.","バービーピンクカラーです。"
"barbie-pink_3","My favorite color is barbie pink.","私の好きな色はバービーピンクです。"
"barbie-pink_4","Can you give me barbie pink paint?","バービーピンクのペンキをください。"
"blizzard-blue","Blizzard blue","ブリザードブルー"
"blizzard-blue_2","It is blizzard blue color.","ブリザードブルーカラーです。"
"blizzard-blue_3","My favorite color is blizzard blue color.","好きな色はブリザードブルーです。"
"blizzard-blue_4","Can you give me blizzard blue paint?","ブリザードブルーの塗料をください。"
"conversation","Conversation","会話"
"me","Me","わたし"
"me_2","My name is {name}","私の名前は{名前}です"
"me_3","I'm {name}","私は{名前}です"
"me_4","Do you know my name?","私の名前を知っていますか？"
"me_5","What is your name?","お名前は何ですか？"
"me_6","Nice to meet you!","はじめまして！"
"me_7","Do you like me?","私のことが好きですか？"
"me_8","Can we be friends?","友達になれますか？"
"me_9","I'm using assistive communication app.","コミュニケーション支援アプリを使用しています。"
"me_10","Who are you?","あなたは誰？"
"hello","Hello","こんにちは"
"hello_2","Hello.","こんにちは。"
"hello_3","Hi.","こんにちは。"
"hello_4","Greetings.","こんにちは。"
"hello_5","How are you?","お元気ですか？"
"hello_6","Nice to meet you!","はじめまして！"
"help","Help","助けて"
"help_2","Help me.","助けて。"
"help_3","Can you help me?","手伝って頂けますか？"
"help_4","I need help","私は助けが必要です"
"help_5","Do you need help?","何か手伝いましょうか？"
"yes","Yes","はい"
"yes_2","Yes.","はい。"
"yes_3","Yes please.","はい、お願いします。"
"yes_4","Alright.","よし。"
"yes_5","Agreed.","同意した。"
"yes_6","I want to.","したい。"
"yes_7","I would like to.","私はしたいと思います。"
"no","No","番号"
"no_2","No.","番号。"
"no_3","Nope.","いいえ。"
"no_4","Never.","決して。"
"no_5","I don't want to.","したくない。"
"no_6","I don't like it.","嫌いです。"
"no_7","You don't like it?","嫌いですか？"
"no_8","Why you don't like it?","なぜあなたはそれが嫌いですか？"
"toilet","Toilet","トイレ"
"toilet_2","I need to go to the toilet.","トイレに行かなきゃ。"
"toilet_3","I need to pee.","おしっこする必要があります。"
"toilet_4","I need to poop.","うんちをする必要があります。"
"toilet_5","Can you help me go to the toilet?","トイレに行くのを手伝ってくれませんか。"
"toilet_6","Can you help me clean?","掃除を手伝ってくれませんか？"
"toilet_7","I peed myself.","私は自分をのぞきます。"
"toilet_8","I pooped myself.","私はうんちしました。"
"what","What","何"
"what_2","What is that?","それは何ですか？"
"what_3","What does it mean?","どういう意味ですか？"
"what_4","What do you mean?","どういう意味ですか？"
"what_5","Can you explain it?","説明できますか？"
"what_6","Can you repeat what you said?","あなたが言ったことを繰り返すことができますか？"
"what_7","I don't understand.","分からない。"
"sleep","Sleep","睡眠"
"sleep_2","I want to sleep.","寝たい。"
"sleep_3","I don't want to sleep.","寝たくない。"
"sleep_4","I'm tired.","つかれた。"
"sleep_5","Are you tired?","疲れましたか？"
"sleep_6","When am I going to sleep?","いつ寝ますか？"
"sleep_7","I want to take a nap.","昼寝したい。"
"bath","Bath","浴"
"bath_2","I want to take a bath.","お風呂に入りたい。"
"bath_3","I like taking a bath.","私は入浴が好きです。"
"bath_4","I want to wash my hands.","手を洗いたい。"
"bath_5","I want to take a shower.","シャワーを浴びたい。"
"bath_6","I want to clean myself.","自分で掃除したい。"
"bath_7","Can you help me take a bath?","入浴を手伝ってくれませんか。"
"bath_8","I don't want to take a bath.","入浴したくない。"
"listen","Listen","聴く"
"listen_2","Listen to me.","私の話を聞いて下さい。"
"listen_3","Can you listen to me?","聞こえますか？"
"listen_4","Listen to music.","音楽を聴く。"
"listen_5","Listening to my parents.","両親の言うことを聞いています。"
"listen_6","Listen to what my application is saying!","私のアプリケーションが言っていることを聞いてください！"
"morning","Morning","朝"
"morning_2","Good morning.","おはようございます。"
"morning_3","I like mornings.","朝が好きです。"
"morning_4","In the morning.","午前中に。"
"morning_5","Morning time.","モーニングタイム。"
"morning_6","Is it morning?","朝ですか？"
"night","Night","夜"
"night_2","Good night!","おやすみなさい！"
"night_3","I like nights.","私は夜が好きです。"
"night_4","At night.","夜に。"
"night_5","Night time.","夜の時間。"
"night_6","Is it night?","夜ですか？"
"look","Look","見て"
"look_2","Look at me.","私を見て。"
"look_3","Look at this.","これ見て"
"look_4","Are you looking?","見てますか？"
"look_5","Look at my drawing.","私の絵を見てください。"
"look_6","How do I look?","私はどのように見えますか？"
"look_7","Look what I did.","私がしたことを見てください。"
"look_8","Let's look at that.","それを見てみましょう。"
"speak","Speak","話す"
"speak_2","I'm learning how to speak.","私は話し方を学んでいます。"
"speak_3","I want to speak.","話したい。"
"speak_4","Can I speak with you?","一緒に話してもいいですか？"
"speak_5","I like speaking.","私は話すのが好きです。"
"speak_6","I'm using assistive communication app.","コミュニケーション支援アプリを使用しています。"
"play","Play","演奏する"
"play_2","I love playing.","遊ぶのが大好きです。"
"play_3","Can you play with me?","一緒に遊べますか？"
"play_4","I want to play with you!","遊びたい！"
"play_5","I want to play with my friends.","友達と遊びたいです。"
"play_6","I don't want to play with you.","一緒に遊びたくない。"
"outside","Outside","外側"
"outside_2","I love going outside.","外に出るのが大好きです。"
"outside_3","I want to go outside.","外に行きたいです。"
"outside_4","Is it cold outside?","外は寒いですか？"
"outside_5","I don't like outside.","外は嫌いです。"
"outside_6","Can I go outside?","外に出てもいいですか？"
"home","Home","ホーム"
"home_2","I love my home.","私は私の家が大好きです。"
"home_3","I want to go home.","家に帰りたい。"
"home_4","Where is your home?","あなたの家はどこですか？"
"home_5","Home sweet home.","ホームスイートホーム。"
"home_6","I'm in the house.","私は家の中にいます。"
"home_7","I'm not in the house.","私は家にいません。"
"hurt","Hurt","傷つける"
"hurt_2","I'm hurt.","私は怪我をしています。"
"hurt_3","Are you hurt?","あなたは怪我をしていますか？"
"hurt_4","Did I hurt you?","あなたを傷つけましたか？"
"hurt_5","I didn't mean to hurt you!","私はあなたを傷つけるつもりはなかったのです！"
"hurt_6","Is it going to hurt?","痛いですか？"
"hurt_7","I have a headache.","頭痛がします。"
"hurt_8","I have a stomach ache.","胃が痛い。"
"hurt_9","My genitals hurt.","性器が痛い。"
"hurt_10","My foot hurts.","足が痛い。"
"feelings","Feelings","こだわり"
"happy","Happy","ハッピー"
"happy_2","I'm happy.","私は満足しています。"
"happy_3","I feel happy.","幸せな気分です。"
"happy_4","Do you feel happy?","幸せですか？"
"happy_5","I want to feel happy.","幸せになりたいです。"
"happy_6","You are making me happy.","あなたは私を幸せにしています。"
"sad","Sad","悲しい"
"sad_2","I'm sad.","私は悲しいです。"
"sad_3","I feel sad.","悲しいな。"
"sad_4","Do you feel sad?","悲しいですか？"
"sad_5","I don't want to feel sad.","悲しくなりたくない。"
"sad_6","You are making me sad.","あなたは私を悲しくしています。"
"exhausted","Exhausted","疲れきった"
"exhausted_2","I'm exhausted.","疲れた。"
"exhausted_3","I feel exhausted.","疲れきっています。"
"exhausted_4","Do you feel exhausted?","疲れましたか？"
"exhausted_5","I don't want to be exhausted.","疲れたくない。"
"relaxed","Relaxed","リラックスした"
"relaxed_2","I'm relaxed.","私はリラックスしています。"
"relaxed_3","I feel relaxed.","リラックスした気分です。"
"relaxed_4","Do you feel relaxed?","リラックスしましたか？"
"relaxed_5","I want to feel relaxed.","リラックスしたいです。"
"in-love","In love","恋愛中"
"in-love_2","I'm in love.","私は恋している。"
"in-love_3","I feel in love.","私は愛を感じます。"
"in-love_4","Are you in love?","あなたは恋していますか？"
"in-love_5","I want to fall in love.","恋に落ちたい。"
"in-love_6","Do you love me?","私を愛していますか？"
"stressed","Stressed","ストレス"
"stressed_2","I'm stressed.","私は強調した。"
"stressed_3","I feel stressed.","ストレスを感じる。"
"stressed_4","Do you feel stressed?","ストレスを感じますか？"
"stressed_5","I don't want to feel stressed.","ストレスを感じたくない。"
"thankful","Thankful","感謝している"
"thankful_2","I'm thankful.","感謝します。"
"thankful_3","I feel thankful.","ありがたいです。"
"thankful_4","Do you feel thankful?","感謝していますか？"
"thankful_5","I want to feel thankful.","感謝したいです。"
"confused","Confused","混乱した"
"confused_2","I'm confused.","よくわかりません。"
"confused_3","I feel confused.","戸惑う。"
"confused_4","Do you feel confused?","混乱していますか？"
"confused_5","You are confusing me.","あなたは私を混乱させています。"
"joyful","Joyful","楽しげ"
"joyful_2","I'm joyful.","嬉しいです。"
"joyful_3","I feel joyful.","嬉しいです。"
"joyful_4","Do you feel joyful?","嬉しいですか？"
"joyful_5","I want to feel joyful.","嬉しくなりたいです。"
"angry","Angry","怒り"
"angry_2","I'm angry.","私は怒っているんだ。"
"angry_3","I feel angry.","私は怒っている。"
"angry_4","Do you feel angry?","怒ってる？"
"angry_5","I'm angry at you.","私はあなたに腹を立てています。"
"angry_6","You are making me angry.","あなたは私を怒らせています。"
"smart","Smart","スマート"
"smart_2","I'm smart.","私はかしこい。"
"smart_3","I feel smart.","頭がいい。"
"smart_4","Do you feel smart?","スマートに感じますか？"
"smart_5","Am I smart?","私は賢いですか？"
"smart_6","You are smart!","あなたは頭がいい！"
"afraid","Afraid","恐れ"
"afraid_2","I'm afraid.","私は怖いです。"
"afraid_3","I feel afraid.","怖いです。"
"afraid_4","Do you feel afraid?","怖いですか？"
"afraid_5","I don't want to feel afraid.","怖くはありません。"
"afraid_6","You are scaring me.","あなたは私を怖がらせています。"
"ashamed","Ashamed","恥ずかしい"
"ashamed_2","I'm ashamed.","私は恥ずかしい。"
"ashamed_3","I feel ashamed.","私は恥ずかしいと思います。"
"ashamed_4","Do you feel ashamed?","恥ずかしいですか？"
"ashamed_5","I don't want to feel ashamed.","恥ずかしがりたくない。"
"shocked","Shocked","ショックを受けた"
"shocked_2","I'm shocked.","びっくりしました。"
"shocked_3","I feel shocked.","ショックです。"
"shocked_4","Do you feel shocked?","ショックを受けましたか？"
"shocked_5","You shocked me.","あなたは私に衝撃を与えた。"
"sick","Sick","病気"
"sick_2","I'm sick.","うんざりだ。"
"sick_3","I feel sick.","気分が悪いです。"
"sick_4","Do you feel sick?","気分が悪いですか？"
"sick_5","I don't want to be sick.","病気になりたくない。"
"sick_6","I'm sick of the food.","私は食べ物にうんざりしています。"
"frustrated","Frustrated","欲求不満"
"frustrated_2","I'm frustrated.","私はイライラしています。"
"frustrated_3","I feel frustrated.","欲求不満です。"
"frustrated_4","Do you feel frustrated?","イライラしますか？"
"frustrated_5","I don't want to feel frustrated.","イライラしたくない。"
"excited","Excited","わくわく"
"excited_2","I'm excited.","私は興奮しています。"
"excited_3","I feel excited.","ワクワクする。"
"excited_4","Do you feel excited?","ワクワクしますか？"
"excited_5","I don't want to feel excited.","ワクワクしたくない。"
"nauseated","Nauseated","吐き気"
"nauseated_2","I'm nauseated.","吐き気がする。"
"nauseated_3","I feel nauseated.","吐き気がする。"
"nauseated_4","Do you feel nauseated?","吐き気を感じますか？"
"nauseated_5","I don't want to feel nauseated.","吐き気を感じたくない。"
"agitated","Agitated","動揺"
"agitated_2","I'm agitated.","私は興奮しています。"
"agitated_3","I feel agitated.","興奮した。"
"agitated_4","Do you feel agitated?","興奮しましたか"
"agitated_5","I don't want to feel agitated.","興奮したくない。"
"food","Food","食物"
"hungry","Hungry","空腹"
"hungry_2","I'm hungry.","お腹が空きました。"
"hungry_3","Are you hungry?","お腹Hあすきましたか？"
"hungry_4","Can you make me food?","私に食べ物を作ってもらえますか？"
"hungry_5","What is for dinner?","夕食は何ですか？"
"thirsty","Thirsty","喉が渇いた"
"thirsty_2","I'm thirsty.","喉が渇いた。"
"thirsty_3","Can I have some water?","お水をいただいてもいいですか？"
"thirsty_4","Can I have a glass of water?","水を一杯もらえますか？"
"thirsty_5","I want something to drink.","何か飲み物が欲しい。"
"cutlery","Cutlery","カトラリー"
"cutlery_2","I need cutlery.","カトラリーが必要です。"
"cutlery_3","Help me use cutlery.","カトラリーの使用を手伝ってください。"
"cutlery_4","I need a fork.","フォークが必要です。"
"cutlery_5","I need a spoon.","スプーンが必要です。"
"cutlery_6","I need chopsticks.","箸が必要です。"
"cutlery_7","I need a knife.","ナイフが必要です。"
"cutlery_8","I need a napkin.","ナプキンが必要です。"
"apple","Apple","林檎"
"apple_2","I like apple.","りんごが好きです。"
"apple_3","I don't like apple.","りんごは好きじゃない。"
"apple_4","I want to eat an apple.","りんごを食べたい。"
"carrot","Carrot","にんじん"
"carrot_2","I like carrot.","にんじんが好きです。"
"carrot_3","I don't like carrot.","にんじんは好きじゃない。"
"carrot_4","I want to eat a carrot.","にんじんを食べたい。"
"beans","Beans","豆"
"beans_2","I like beans.","私は豆が好きです。"
"beans_3","I don't like beans.","私は豆が好きではありません。"
"beans_4","I want to eat beans.","豆を食べたいです。"
"chicken_5","I want fried chicken.","フライドチキンが欲しいです。"
"chicken_6","I want boiled chicken.","ゆで鶏が欲しい。"
"chocolate","Chocolate","チョコレート"
"chocolate_2","I like chocolate.","チョコレートが好きだ。"
"chocolate_3","I don't like chocolate.","私はチョコレートが好きではありません。"
"chocolate_4","I want to eat chocolate.","チョコレートが食べたい。"
"chocolate_5","I want dark chocolate.","ダークチョコレートが欲しい。"
"chocolate_6","I want white chocolate.","ホワイトチョコレートが欲しいです。"
"milk","Milk","牛乳"
"milk_2","I like milk.","ミルクが好き。"
"milk_3","I don't like milk.","牛乳は好きではありません。"
"milk_4","I want to drink milk.","牛乳が飲みたい。"
"milk_5","Can I have a glass of milk?","一杯の牛乳を頂けますか？"
"sandwich","Sandwich","サンドイッチ"
"sandwich_2","I like sandwich.","サンドイッチが好きです。"
"sandwich_3","I don't like sandwich.","サンドイッチは嫌いです。"
"sandwich_4","I want to eat a sandwich.","サンドイッチを食べたいです。"
"sandwich_5","Can you make me a sandwich?","サンドイッチにしてもらえますか？"
"steak","Steak","ステーキ"
"steak_2","I like steak.","ステーキが好きです。"
"steak_3","I don't like steak.","ステーキは嫌いです。"
"steak_4","I want to eat steak.","ステーキが食べたい。"
"steak_5","Can you cook steak for me?","ステーキを作ってもらえますか？"
"banana","Banana","バナナ"
"banana_2","I like banana.","バナナが好きです。"
"banana_3","I don't like banana.","バナナは好きではありません。"
"banana_4","I want to eat a banana.","バナナを食べたいです。"
"pie","Pie","パイ"
"pie_2","I like pie.","私はパイが好き。"
"pie_3","I don't like pie.","パイは嫌いです。"
"pie_4","I want to eat pie.","パイを食べたいです。"
"pie_5","Can you bake a pie for me?","パイを焼いてくれませんか。"
"egg","Egg","卵"
"egg_2","I like egg.","私は卵が好きです。"
"egg_3","I don't like egg.","私は卵が好きではありません。"
"egg_4","I want to eat egg.","卵が食べたい。"
"egg_5","I want fried eggs.","目玉焼きが欲しい。"
"egg_6","I want boiled eggs.","ゆで卵が欲しい。"
"noodles","Noodles","麺"
"noodles_2","I like noodles.","麺が好きです。"
"noodles_3","I don't like noodles.","麺は好きじゃない。"
"noodles_4","I want to eat noodles.","麺を食べたいです。"
"noodles_5","Can you cook noodles for me?","麺を作ってもらえますか？"
"salt","Salt","塩"
"salt_2","I want salt.","塩が欲しい。"
"salt_3","Can you pass me the salt?","塩をくれませんか。"
"salt_4","Food is too salty.","食べ物が塩辛い。"
"salt_5","My food needs some salt.","私の食べ物には塩が必要です。"
"spices","Spices","スパイス"
"spices_2","I like spicy food.","辛いものが好きです。"
"spices_3","I don't like spicy food.","辛いものが嫌いです。"
"spices_4","I want paprika.","パプリカが欲しい。"
"spices_5","I want black pepper.","黒胡椒が欲しい。"
"pizza","Pizza","ピザ"
"pizza_2","I like pizza.","私はピザが好き。"
"pizza_3","I don't like pizza.","ピザは嫌いです。"
"pizza_4","I want to eat pizza.","ピザが食べたい。"
"pizza_5","Can you cook pizza for me?","ピザを作ってもらえますか？"
"pizza_6","Can we order pizza?","ピザを注文できますか？"
"cheese","Cheese","チーズ"
"cheese_2","I like cheese.","私はチーズが好きです。"
"cheese_3","I don't like cheese.","チーズは嫌いです。"
"cheese_4","I want to eat cheese.","チーズが食べたい。"
"ice-cream","Ice cream","アイスクリーム"
"ice-cream_2","I like ice cream.","私はアイスクリームが好きです。"
"ice-cream_3","I don't like ice cream.","アイスクリームは好きじゃない。"
"ice-cream_4","I want to eat ice cream.","アイスクリームが食べたい。"
"ice-cream_5","Can you buy ice cream for me?","アイスクリームを買ってもらえますか？"
"tea","Tea","お茶"
"tea_2","I like tea.","お茶が好きです。"
"tea_3","I don't like tea.","お茶は好きではありません。"
"tea_4","I want to drink tea.","お茶が飲みたいです。"
"tea_5","Can you make tea for me?","お茶を作ってもらえますか？"
"coffee","Coffee","コーヒー"
"coffee_2","I like coffee.","コーヒーが好きです。"
"coffee_3","I don't like coffee.","私はコーヒーが好きではありません。"
"coffee_4","I want to drink coffee.","コーヒーが飲みたいです。"
"coffee_5","Can you make coffee for me?","コーヒーを作ってくれませんか。"
"tomato","Tomato","トマト"
"tomato_2","I like tomato.","トマトが好きです。"
"tomato_3","I don't like tomato.","トマトは嫌いです。"
"tomato_4","I want to eat tomato.","トマトが食べたい。"
"cereal","Cereal","穀物"
"cereal_2","I like cereal.","シリアルが好きです。"
"cereal_3","I don't like cereal.","シリアルは好きではありません。"
"cereal_4","I want to eat cereal.","穀物を食べたいです。"
"cereal_5","Can you make my cereal?","私のシリアルを作ってもらえますか？"
"burger","Burger","バーガー"
"burger_2","I like burger.","ハンバーガーが好きです。"
"burger_3","I don't like burger.","ハンバーガーは好きじゃない。"
"burger_4","I want to eat burger.","ハンバーガーを食べたいです。"
"burger_5","Can you cook burger for me?","ハンバーガーを作ってもらえますか？"
"burger_6","Can we order burger?","ハンバーガーを注文できますか？"
"french-fries","French fries","フライドポテト"
"french-fries_2","I like french fries.","フライドポテトが好きです。"
"french-fries_3","I don't like french fries.","フライドポテトは嫌いです。"
"french-fries_4","I want to eat french fries.","フライドポテトが食べたい。"
"french-fries_5","Can you cook french fries for me?","フライドポテトを作ってくれませんか。"
"french-fries_6","Can we order french fries?","フライドポテトを注文できますか？"
"spinach","Spinach","ほうれん草"
"spinach_2","I like spinach.","ほうれん草が好きです。"
"spinach_3","I don't like spinach.","ほうれん草は嫌いです。"
"spinach_4","I want to eat spinach.","ほうれん草を食べたいです。"
"rice","Rice","ご飯"
"rice_2","I like rice.","私はご飯が好きです。"
"rice_3","I don't like rice.","ご飯は好きではありません。"
"rice_4","I want to eat rice.","ごはんを食べたい。"
"rice_5","Can you cook rice for me?","ご飯炊いてもらえますか？"
"bread","Bread","パン"
"bread_2","I like bread.","私はパンが好きです。"
"bread_3","I don't like bread.","私はパンが好きではありません。"
"bread_4","I want to eat bread.","パンが食べたい。"
"bread_5","Can you buy some bread?","パンを買えますか？"
"pasta","Pasta","パスタ"
"pasta_2","I like pasta.","パスタが好きです。"
"pasta_3","I don't like pasta.","パスタは嫌いです。"
"pasta_4","I want to eat pasta.","パスタが食べたいです。"
"pasta_5","Can you cook pasta for me?","パスタを作ってもらえますか？"
"sauce","Sauce","ソース"
"sauce_2","I like sauce.","ソースが好きです。"
"sauce_3","I don't like sauce.","ソースは好きじゃない。"
"sauce_4","I want some sauce.","ソースが欲しい。"
"sauce_5","Can I have ketchup?","ケチャップを頂けますか？"
"sauce_6","Can I have mayonnaise?","マヨネーズを頂けますか？"
"sauce_7","Can I have mustard?","マスタードを頂けますか？"
"sauce_8","Can I have ranch sauce?","ランチソースを頂けますか？"
"kebab","Kebab","ケバブ"
"kebab_2","I like kebab.","ケバブが好きです。"
"kebab_3","I don't like kebab.","ケバブは好きではありません。"
"kebab_4","I want to eat kebab.","ケバブを食べたい。"
"kebab_5","Can you cook kebab for me?","ケバブを作ってもらえますか？"
"kebab_6","Can we order kebab?","ケバブを注文できますか？"
"numbers","Numbers","数字"
"one","One","1"
"one_2","One comes before two.","1つは2つの前に来ます。"
"one_3","One comes after zero.","1はゼロの後に来ます。"
"one_4","I want one.","私は1つが欲しい。"
"two","Two","二"
"two_2","Two comes before three.","2が3の前に来ます。"
"two_3","Two comes after one.","2つは1つ後に続きます。"
"two_4","I want two.","2つ欲しい。"
"three","Three","三"
"three_2","Three comes before four.","3は4の前に来ます。"
"three_3","Three comes after two.","3は2の後に来ます。"
"three_4","I want three.","3つ欲しい。"
"four","Four","四"
"four_2","Four comes before five.","4は5の前に来ます。"
"four_3","Four comes after three.","4は3の後に来ます。"
"four_4","I want four.","4個欲しいです。"
"five","Five","五"
"five_2","Five comes before six.","5は6の前に来ます。"
"five_3","Five comes after four.","5は4の後に来ます。"
"five_4","I want five.","5個欲しいです。"
"six","Six","六"
"six_2","Six comes before seven.","6は7の前に来ます。"
"six_3","Six comes after five.","6は5の後に来ます。"
"six_4","I want fix.","直したい。"
"seven","Seven","セブン"
"seven_2","Seven comes before eight.","7は8の前に来ます。"
"seven_3","Seven comes after six.","7は6の後に来ます。"
"seven_4","I want seven.","七つ欲しい。"
"eight","Eight","8"
"eight_2","Eight comes before nine.","8は9の前に来ます。"
"eight_3","Eight comes after seven.","8は7の後に来ます。"
"eight_4","I want eight.","8個欲しいです。"
"nine","Nine","ナイン"
"nine_2","Nine comes before ten.","9は10の前に来ます。"
"nine_3","Nine comes after eight.","9は8の後に来ます。"
"nine_4","I want nine.","9個欲しいです。"
"ten","Ten","十"
"ten_2","Ten comes before eleven.","10は11の前に来ます。"
"ten_3","Ten comes after nine.","10は9の後に続きます。"
"ten_4","I want ten.","10個欲しいです。"
"eleven","Eleven","十一"
"eleven_2","Eleven comes before thirteen.","11は13の前に来ます。"
"eleven_3","Eleven comes after ten.","11は10の後に来ます。"
"eleven_4","I want eleven.","11個欲しいです。"
"twenty","Twenty","二十"
"twenty_2","I can count up to twenty.","私は20まで数えることができます。"
"thirty","Thirty","30"
"thirty_2","I can count up to thirty.","私は30まで数えることができます。"
"forty","Forty","四十"
"forty_2","I can count up to forty.","私は40まで数えることができます。"
"fifty","Fifty","五十"
"fifty_2","I can count up to fifty.","50まで数えることができます。"
"hundred","Hundred","百"
"hundred_2","I can count up to hundred.","私は百まで数えることができます。"
"thousand","Thousand","千"
"thousand_2","I can count up to thousand.","私は千まで数えることができます。"
"calculator","Calculator","電卓"
"calculator_2","I want to use a calculator.","電卓を使いたい。"
"calculator_3","Can you teach me how to use a calculator?","電卓の使い方を教えてもらえますか？"
"calculator_4","Can I barrow your calculator?","電卓を借りることはできますか？"
"people","People","人"
"mother","Mother","母"
"mother_2","Mommy!","ママ！"
"mother_3","I love my mother.","母親を愛している。"
"mother_4","I love you mom.","ママ、愛してるよ。"
"mother_5","I miss my mom.","ママがいなくて寂しい。"
"mother_6","Thank you for taking care of me.","お世話いただきありがとうございます。"
"mother_7","She is my mom.","彼女は私の母です。"
"mother_8","Can you help me find my mother?","母を見つけるのを手伝ってくれませんか？"
"father","Father","お父さん"
"father_2","Daddy!","パパ！"
"father_3","I love my father.","私は父が好きです。"
"father_4","I love you dad.","愛してるよ、お父さん。"
"father_5","I miss my dad.","パパに会いたい。"
"father_6","Thank you for taking care of me.","お世話いただきありがとうございます。"
"father_7","He is my dad.","彼は私の父です。"
"father_8","Can you help me find my father?","私の父を見つけるのを手伝ってくれませんか？"
"parents","Parents","親"
"parents_2","I love my parents.","私は両親が好きです。"
"parents_3","I love my parents.","私は両親が好きです。"
"parents_4","I miss my parents.","両親が恋しいです。"
"parents_5","They are my parents.","彼らは私の両親です。"
"parents_6","My parents are taking care of me.","両親が私の面倒を見てくれています。"
"parents_8","Can you help me find my parents?","両親を探すのを手伝ってくれませんか？"
"grandparents","Grandparents","祖父母"
"grandparents_2","I love my grandparents.","祖父母が大好きです。"
"grandparents_3","I love you grandparents.","私は祖父母を愛しています。"
"grandparents_4","I miss my grandparents.","祖父母が恋しいです。"
"grandparents_5","They are my grandparents.","彼らは私の祖父母です。"
"grandparents_6","My grandparents are taking care of me.","祖父母が面倒を見てくれています。"
"grandparents_8","Can you help me find my grandparents?","祖父母を探すのを手伝ってくれませんか？"
"brother","Brother","兄"
"brother_2","I love my brother.","兄が好き。"
"brother_3","I love you brother.","愛してるよ、兄弟。"
"brother_4","I miss my brother.","兄が恋しいです。"
"brother_5","He is my brother.","彼は私の弟です。"
"brother_6","My brother is taking care of me.","兄が面倒を見てくれています。"
"brother_8","Can you help me find my brother?","私の兄を見つけるのを手伝ってくれませんか？"
"sister","Sister","シスター"
"sister_2","I love my sister.","私は妹が大好きです。"
"sister_3","I love you sister.","私はあなたの妹が大好きです。"
"sister_4","I miss my sister.","妹が恋しいです。"
"sister_5","She is my sister.","彼女は私の妹です。"
"sister_6","My sister is taking care of me.","妹が私の面倒を見てくれます。"
"sister_8","Can you help me find my sister?","私の妹を見つけるのを手伝ってくれませんか？"
"uncle","Uncle","おじさん"
"uncle_2","I love my uncle.","叔父が大好きです。"
"uncle_3","I love you uncle.","おじさん大好きです"
"uncle_4","I miss my uncle.","叔父が恋しいです。"
"uncle_5","He is my uncle.","彼は私のおじです。"
"uncle_8","Can you help me find my uncle?","叔父を見つけるのを手伝ってくれませんか。"
"aunt","Aunt","叔母"
"aunt_2","I love my aunt.","叔母が大好きです。"
"aunt_3","I love you aunt.","おばさん大好き"
"aunt_4","I miss my aunt.","叔母が恋しいです。"
"aunt_5","She is my aunt.","彼女は私の叔母であります。"
"aunt_8","Can you help me find my aunt?","叔母を探すのを手伝ってくれませんか？"
"teacher","Teacher","先生"
"teacher_2","I love my teacher.","私は先生が大好きです。"
"teacher_3","I love you teacher.","先生大好きです。"
"teacher_4","I don't like my teacher.","私は先生が好きではありません。"
"teacher_5","I miss my teacher.","先生がいなくて寂しいです。"
"teacher_6","Thank you for the lesson.","レッスンありがとうございます。"
"therapist","Therapist","セラピスト"
"therapist_2","I love my therapist.","セラピストが大好きです。"
"therapist_3","I love you therapist.","セラピスト、大好きです。"
"therapist_4","I don't like my therapist.","セラピストは好きではありません。"
"therapist_5","I miss my therapist.","セラピストが恋しいです。"
"therapist_6","Thank you for the session.","セッションありがとうございます。"
"doctor","Doctor","医師"
"doctor_2","I love my doctor.","私は医者が大好きです。"
"doctor_3","I love you doctor.","私はあなたの医者が大好きです。"
"doctor_4","I don't like my doctor.","私の医者は嫌いです。"
"doctor_5","I miss my doctor.","医者がいなくて寂しいです。"
"doctor_6","Thank you for healing me.","癒してくれてありがとう。"
"friends","Friends","フレンズ"
"friends_2","I love my friends.","私は私の友人が大好き。"
"friends_3","Do you want to be my friend?","お友達になってくれますか？"
"friends_4","I don't like my friends.","私は友達が好きではありません。"
"friends_5","I miss my friends.","友達がいなくて寂しいです。"
"friends_6","They are my friends.","彼らは私の友達です。"
"friends_7","Thank you for playing with me.","遊んでくれてありがとう。"
"cousins","Cousins","いとこ"
"cousins_2","I love my cousins.","私はいとこが大好きです。"
"cousins_3","I don't have cousins.","いとこはいません。"
"cousins_4","I miss my cousins.","いとこが恋しいです。"
"cousins_5","They are my cousins.","彼らは私のいとこです。"
"grandmother","Grandmother","祖母"
"grandmother_2","I love my grandmother.","私は祖母が大好きです。"
"grandmother_3","I love you grandma.","おばあちゃん、大好きだよ。"
"grandmother_4","I miss my grandma.","おばあちゃんが恋しいです。"
"grandmother_5","She is my grandma.","彼女は私のおばあちゃんです。"
"grandfather","Grandfather","祖父"
"grandfather_2","I love my grandfather.","私は祖父が大好きです。"
"grandfather_3","I love you grandpa.","おじいちゃん大好き"
"grandfather_4","I miss my grandpa.","おじいちゃんがいなくて寂しいです。"
"grandfather_5","He is my grandpa.","彼は私のおじいちゃんです。"
"stepfather","Stepfather","継父"
"stepfather_2","I love my stepfather.","義父が大好きです。"
"stepfather_3","He is my stepfather.","彼は私の継父です。"
